#PPI	ID_b	Sym_b	LocID_b	ID_p	Sym_p	LocID_p	Y2H	Exp	Hs	Dm	Ce	Sc	GO	Qcount
1	152	BCCIP	56647	1409	PTN	5764	LacZ4		Y2H:30	GIOT:22|GIOT:31	WI5:22	MIPS:22	GO:0000074	6
2	470	EEF1B2	1933	477	EEF1G	1937	LacZ4	PMID:11985494	HPRD:21|HPRD:22|HPRD:31|Y2H:40	GIOT:11|GIOT:22	WI5:22|WI5:31	MIPS:11|MIPS:13|MIPS:31	GO:0006414	6
2	470	EEF1B2	1933	476	EEF1G	1937	LacZ4	Bdg:pos|PMID:11985494	HPRD:21|HPRD:22|HPRD:31|Y2H:40	GIOT:11|GIOT:22	WI5:22|WI5:31	MIPS:11|MIPS:13|MIPS:31	GO:0006414	6
2	476	EEF1G	1937	469	EEF1B2	1933	LacZ4	PMID:11985494	HPRD:21|HPRD:22|HPRD:31|Y2H:40	GIOT:11|GIOT:22	WI5:22|WI5:31	MIPS:11|MIPS:13|MIPS:31	GO:0006414	6
2	476	EEF1G	1937	470	EEF1B2	1933	LacZ4	Bdg:pos|PMID:11985494	HPRD:21|HPRD:22|HPRD:31|Y2H:40	GIOT:11|GIOT:22	WI5:22|WI5:31	MIPS:11|MIPS:13|MIPS:31	GO:0006414	6
2	478	EEF1G	1937	470	EEF1B2	1933	LacZ4	Bdg:pos|PMID:11985494	HPRD:21|HPRD:22|HPRD:31|Y2H:40	GIOT:11|GIOT:22	WI5:22|WI5:31	MIPS:11|MIPS:13|MIPS:31	GO:0006414	6
2	478	EEF1G	1937	469	EEF1B2	1933	LacZ4	PMID:11985494	HPRD:21|HPRD:22|HPRD:31|Y2H:40	GIOT:11|GIOT:22	WI5:22|WI5:31	MIPS:11|MIPS:13|MIPS:31	GO:0006414	6
3	471	EEF1D	1936	477	EEF1G	1937	LacZ4	PMID:10094407	HPRD:21|HPRD:22|HPRD:31|Y2H:40	GIOT:22|GIOT:31	WI5:22|WI5:31	MIPS:11|MIPS:13|MIPS:31	GO:0006414	6
3	472	EEF1D	1936	476	EEF1G	1937	LacZ4	PMID:10368288	HPRD:21|HPRD:22|HPRD:31|Y2H:40	GIOT:22|GIOT:31	WI5:22|WI5:31	MIPS:11|MIPS:13|MIPS:31	GO:0006414	6
3	472	EEF1D	1936	477	EEF1G	1937	LacZ4	PMID:10368288	HPRD:21|HPRD:22|HPRD:31|Y2H:40	GIOT:22|GIOT:31	WI5:22|WI5:31	MIPS:11|MIPS:13|MIPS:31	GO:0006414	6
3	476	EEF1G	1937	472	EEF1D	1936	LacZ4	PMID:10094407	HPRD:21|HPRD:22|HPRD:31|Y2H:40	GIOT:22|GIOT:31	WI5:22|WI5:31	MIPS:11|MIPS:13|MIPS:31	GO:0006414	6
4	996	LSM2	57819	997	LSM3	27258	LacZ4		HPRD:11|HPRD:12|HPRD:13|HPRD:31|Y2H:40	GIOT:13	WI5:11|WI5:12|WI5:13	MIPS:11|MIPS:12|MIPS:13	GO:0005732	6
4	997	LSM3	27258	996	LSM2	57819	LacZ4		HPRD:11|HPRD:12|HPRD:13|HPRD:31|Y2H:40	GIOT:13	WI5:11|WI5:12|WI5:13	MIPS:11|MIPS:12|MIPS:13	GO:0005732	6
5	89	ARIH2	10425	467	EEF1A1	1915	LacZ4		HPRD:31|Y2H:40	GIOT:22|GIOT:13|GIOT:31	WI5:22|WI5:31	MIPS:22|MIPS:31		5
6	89	ARIH2	10425	475	EEF1G	1937	LacZ4		HPRD:31|Y2H:40	GIOT:22|GIOT:13|GIOT:31	WI5:31	MIPS:22|MIPS:31		5
7	89	ARIH2	10425	1841	UBE2L3	7332	LacZ4	PMID:10431818	HPRD:22|HPRD:31	GIOT:11	WI5:22		GO:0006512	5
7	89	ARIH2	10425	1840	UBE2L3	7332	LacZ4	PMID:10431818	HPRD:22|HPRD:31	GIOT:11	WI5:22		GO:0006512	5
8	96	ARPC5L	81873	95	ARPC4	10093	LacZ4			GIOT:11	WI5:11|WI5:12|WI5:13	MIPS:11|MIPS:12|MIPS:13	GO:0030041	5
9	103	ASC1p100	84164	472	EEF1D	1936	LacZ4		HPRD:22|HPRD:31|Y2H:40	GIOT:22	WI5:22|WI5:31	MIPS:31		5
10	103	ASC1p100	84164	1519	RPLP1	6176	LacZ4		HPRD:31|Y2H:40	GIOT:22|GIOT:13	WI5:31	MIPS:22|MIPS:31		5
11	103	ASC1p100	84164	1651	SNW1	22938	LacZ4		HPRD:22|HPRD:31	GIOT:13		MIPS:22	GO:0006355	5
12	168	BTBD2	55643	164	BRD7	29117	LacZ4		Y2H:40	GIOT:31	WI5:31	MIPS:31		5
13	168	BTBD2	55643	466	EEF1A1	1915	LacZ4	Memb:neg	HPRD:31|Y2H:40	GIOT:22|GIOT:31	WI5:31	MIPS:31		5
14	185	C1orf6	56893	1409	PTN	5764	LacZ4		Y2H:40	GIOT:22	WI5:22|WI5:31	MIPS:22		5
15	227	CAPZB	832	151	BCCIP	56647	LacZ4		Y2H:30|Y2H:40	GIOT:12|GIOT:31	WI5:13	MIPS:13		5
16	243	CCL18	6362	466	EEF1A1	1915	LacZ4		HPRD:31|Y2H:40	GIOT:22|GIOT:31	WI5:31	MIPS:31		5
17	250	CCT7	10574	475	EEF1G	1937	LacZ4		Y2H:30|Y2H:40	GIOT:22|GIOT:31	WI5:22	MIPS:31		5
18	256	CDC42	998	475	EEF1G	1937	LacZ4		HPRD:22|Y2H:40	GIOT:31	WI5:22|WI5:31	MIPS:13|MIPS:31		5
19	256	CDC42	998	1853	UNC119	9094	LacZ4		HPRD:21|HPRD:22|HPRD:13|HPRD:31|Y2H:40	GIOT:31	WI5:22|WI5:31	MIPS:22		5
20	262	CDK4	1019	269	CDKN2B	1030	LacZ4		HPRD:11|HPRD:31|Y2H:40		WI5:31	MIPS:31	GO:0000082	5
20	262	CDK4	1019	270	CDKN2B	1030	LacZ4		HPRD:11|HPRD:31|Y2H:40		WI5:31	MIPS:31	GO:0000082	5
21	263	CDK5RAP2	55755	475	EEF1G	1937	LacZ4		Y2H:40	GIOT:12|GIOT:22|GIOT:13|GIOT:31	WI5:31	MIPS:31		5
22	271	CDKN2C	1031	1788	TP53	7157	LacZ4		HPRD:22|HPRD:13|HPRD:31|Y2H:40		WI5:22|WI5:31	MIPS:22	GO:0007050	5
23	271	CDKN2C	1031	1853	UNC119	9094	LacZ4		HPRD:31|Y2H:40	GIOT:22	WI5:22|WI5:31	MIPS:22		5
24	320	COPE	11316	319	COPA	1314	LacZ4		HPRD:11|HPRD:12|HPRD:13	GIOT:11	WI5:11		GO:0006886	5
25	327	COX17	10063	1853	UNC119	9094	LacZ4		HPRD:31|Y2H:40	GIOT:22|GIOT:31	WI5:31	MIPS:22		5
26	330	CPE	1363	284	CGI-125	51003	LacZ4		HPRD:31|Y2H:40	GIOT:22	WI5:31	MIPS:31		5
27	330	CPE	1363	1476	RIF1	55791	LacZ4		HPRD:31|Y2H:40	GIOT:22	WI5:31	MIPS:31		5
28	347	CSTF2	1478	288	CHD3	1107	LacZ4	Memb:pos	HPRD:22|HPRD:13|HPRD:31|Y2H:30|Y2H:40	GIOT:22|GIOT:13|GIOT:31	WI5:31	MIPS:21|MIPS:22|MIPS:31		5
28	347	CSTF2	1478	286	CHD3	1107	LacZ4		HPRD:22|HPRD:13|HPRD:31|Y2H:30|Y2H:40	GIOT:22|GIOT:13|GIOT:31	WI5:31	MIPS:21|MIPS:22|MIPS:31		5
29	347	CSTF2	1478	475	EEF1G	1937	LacZ4		Y2H:30|Y2H:40	GIOT:31	WI5:22|WI5:31	MIPS:22		5
30	347	CSTF2	1478	897	KIAA1377	57562	LacZ4		HPRD:21|HPRD:22|Y2H:40	GIOT:22|GIOT:31	WI5:31	MIPS:21|MIPS:31		5
31	424	DLEU1	10301	466	EEF1A1	1915	LacZ4		HPRD:21|HPRD:22|HPRD:31|Y2H:40	GIOT:22|GIOT:31	WI5:31	MIPS:22|MIPS:31		5
32	424	DLEU1	10301	475	EEF1G	1937	LacZ4		HPRD:31|Y2H:30|Y2H:40	GIOT:22|GIOT:31	WI5:31	MIPS:22|MIPS:31		5
33	456	DRPLA	1822	1872	VIM	7431	LacZ4		Y2H:30|Y2H:40	GIOT:22|GIOT:31	WI5:21	MIPS:22		5
34	524	ERH	2079	1788	TP53	7157	LacZ4		HPRD:22|HPRD:31|Y2H:40	GIOT:22	WI5:31		GO:0000074	5
35	648	FTS	64400	897	KIAA1377	57562	LacZ4		HPRD:31|Y2H:40	GIOT:22	WI5:31	MIPS:31		5
36	648	FTS	64400	1567	SDCCAG16	10813	LacZ4		HPRD:31|Y2H:40	GIOT:21|GIOT:22	WI5:31	MIPS:31		5
37	649	FUBP1	8880	1759	TLE1	7088	LacZ4		HPRD:31|Y2H:40	GIOT:31	WI5:21|WI5:13|WI5:31		GO:0006355	5
38	773	HNRPH3	3189	342	CRMP1	1400	LacZ4		Y2H:40	GIOT:22|GIOT:31	WI5:22	MIPS:31		5
38	773	HNRPH3	3189	341	CRMP1	1400	LacZ4		Y2H:40	GIOT:22|GIOT:31	WI5:22	MIPS:31		5
39	773	HNRPH3	3189	475	EEF1G	1937	LacZ4		Y2H:40	GIOT:22|GIOT:13|GIOT:31	WI5:22	MIPS:31		5
40	807	HSPE1	3336	174	C14orf1	11161	LacZ4		HPRD:21|HPRD:22|HPRD:31|Y2H:30|Y2H:40	GIOT:22	WI5:22	MIPS:22		5
41	807	HSPE1	3336	466	EEF1A1	1915	LacZ4		HPRD:31|Y2H:40	GIOT:22|GIOT:13|GIOT:31	WI5:13|WI5:31	MIPS:22|MIPS:31		5
42	809	HSU79303	29903	475	EEF1G	1937	LacZ4		Y2H:40	GIOT:31	WI5:31	MIPS:31		5
43	925	LAMA4	3910	466	EEF1A1	1915	LacZ4		HPRD:21|HPRD:22|HPRD:31|Y2H:40	GIOT:22|GIOT:31	WI5:31	MIPS:31		5
44	997	LSM3	27258	466	EEF1A1	1915	LacZ4		HPRD:31|Y2H:40	GIOT:22|GIOT:13	WI5:31	MIPS:31		5
45	997	LSM3	27258	1567	SDCCAG16	10813	LacZ4		HPRD:31|Y2H:40	GIOT:22	WI5:31	MIPS:31		5
46	1225	PAFAH1B3	5050	164	BRD7	29117	LacZ4		Y2H:40	GIOT:31	WI5:31	MIPS:31		5
47	1225	PAFAH1B3	5050	341	CRMP1	1400	LacZ4		HPRD:31|Y2H:40	GIOT:31	WI5:31	MIPS:31		5
48	1225	PAFAH1B3	5050	466	EEF1A1	1915	LacZ4		HPRD:21|HPRD:22|HPRD:31|Y2H:40	GIOT:22|GIOT:31	WI5:31	MIPS:31		5
49	1394	PSMD11	5717	164	BRD7	29117	LacZ4		Y2H:40	GIOT:31	WI5:31	MIPS:31		5
50	1394	PSMD11	5717	341	CRMP1	1400	LacZ4		HPRD:31|Y2H:40	GIOT:22|GIOT:31	WI5:31	MIPS:31		5
51	1394	PSMD11	5717	408	DKFZP564O0523	84060	LacZ4		HPRD:31|Y2H:40	GIOT:31	WI5:31	MIPS:31		5
52	1394	PSMD11	5717	466	EEF1A1	1915	LacZ4		HPRD:21|HPRD:22|HPRD:31|Y2H:40	GIOT:12|GIOT:22|GIOT:13|GIOT:31	WI5:12|WI5:13|WI5:31	MIPS:22|MIPS:31		5
53	1396	PSMD2	5708	1409	PTN	5764	LacZ4		HPRD:22|Y2H:40	GIOT:22	WI5:22		GO:0000074	5
54	1408	PTN	5764	286	CHD3	1107	LacZ4		HPRD:22|HPRD:31|Y2H:30|Y2H:40	GIOT:31	WI5:31	MIPS:31		5
55	1412	PTPN4	5775	475	EEF1G	1937	LacZ4		HPRD:31|Y2H:40	GIOT:31	WI5:31	MIPS:22|MIPS:31		5
56	1418	PTPRS	5802	473	EEF1G	1937	LacZ4		Y2H:30|Y2H:40	GIOT:22|GIOT:31	WI5:31	MIPS:22		5
57	1418	PTPRS	5802	897	KIAA1377	57562	LacZ4		HPRD:31|Y2H:40	GIOT:31	WI5:31	MIPS:22		5
58	1418	PTPRS	5802	1853	UNC119	9094	LacZ4		HPRD:31|Y2H:40	GIOT:31	WI5:31	MIPS:22		5
59	1487	RNPC4	55147	284	CGI-125	51003	LacZ4		HPRD:31|Y2H:40	GIOT:22	WI5:31	MIPS:31		5
60	1487	RNPC4	55147	897	KIAA1377	57562	LacZ4		HPRD:31|Y2H:40	GIOT:22	WI5:31	MIPS:31		5
61	1493	RPA2	6118	284	CGI-125	51003	LacZ4		HPRD:31|Y2H:40	GIOT:22|GIOT:31	WI5:31	MIPS:31		5
62	1493	RPA2	6118	341	CRMP1	1400	LacZ4		HPRD:22|HPRD:31|Y2H:40	GIOT:31	WI5:22|WI5:31	MIPS:31		5
63	1493	RPA2	6118	466	EEF1A1	1915	LacZ4	Memb:neg	HPRD:21|HPRD:22|HPRD:31|Y2H:30|Y2H:40	GIOT:12|GIOT:22|GIOT:31	WI5:22|WI5:13|WI5:31	MIPS:22|MIPS:31		5
64	1493	RPA2	6118	668	GAPD	2597	LacZ4	Memb:pos	HPRD:22|HPRD:13|HPRD:31|Y2H:40	GIOT:21|GIOT:22	WI5:31	MIPS:22		5
65	1493	RPA2	6118	897	KIAA1377	57562	LacZ4		HPRD:22|HPRD:31|Y2H:40	GIOT:31	WI5:22|WI5:31	MIPS:31		5
66	1493	RPA2	6118	1476	RIF1	55791	LacZ4		HPRD:22|HPRD:31|Y2H:30|Y2H:40	GIOT:31	WI5:31	MIPS:22|MIPS:31		5
67	1493	RPA2	6118	1567	SDCCAG16	10813	LacZ4		HPRD:31|Y2H:40	GIOT:31	WI5:31	MIPS:31		5
68	1493	RPA2	6118	1759	TLE1	7088	LacZ4		HPRD:22|HPRD:13|HPRD:31|Y2H:40	GIOT:31	WI5:31	MIPS:31		5
69	1493	RPA2	6118	1822	TUBB	7280	LacZ4	Memb:pos	HPRD:21|HPRD:22|HPRD:31|Y2H:30|Y2H:40	GIOT:22|GIOT:13|GIOT:31	WI5:31	MIPS:22		5
70	1518	RPLP1	6176	164	BRD7	29117	LacZ4		Y2H:40	GIOT:21|GIOT:22	WI5:31	MIPS:13|MIPS:31		5
71	1518	RPLP1	6176	466	EEF1A1	1915	LacZ4		HPRD:21|HPRD:22|HPRD:31|Y2H:30|Y2H:40	GIOT:21|GIOT:22|GIOT:13|GIOT:31	WI5:22|WI5:31	MIPS:22|MIPS:31		5
72	1518	RPLP1	6176	1822	TUBB	7280	LacZ4		HPRD:21|HPRD:22|HPRD:31|Y2H:30|Y2H:40	GIOT:12|GIOT:22|GIOT:13|GIOT:31	WI5:31	MIPS:22|MIPS:13		5
73	1533	RPS3A	6189	805	HSPCA	3320	LacZ4	Memb:pos	HPRD:22|HPRD:13	GIOT:12|GIOT:13	WI5:13	MIPS:31		5
74	1557	SAT	6303	475	EEF1G	1937	LacZ4		HPRD:31|Y2H:30|Y2H:40	GIOT:22|GIOT:31	WI5:31	MIPS:31		5
75	1557	SAT	6303	1519	RPLP1	6176	LacZ4		HPRD:31|Y2H:30|Y2H:40	GIOT:22|GIOT:31	WI5:31	MIPS:22|MIPS:31		5
76	1557	SAT	6303	1759	TLE1	7088	LacZ4		HPRD:22|HPRD:31|Y2H:30|Y2H:40	GIOT:31	WI5:31	MIPS:31		5
77	1570	SELENBP1	8991	284	CGI-125	51003	LacZ4		HPRD:31|Y2H:40	GIOT:22	WI5:31	MIPS:31		5
78	1570	SELENBP1	8991	1476	RIF1	55791	LacZ4		HPRD:31|Y2H:40	GIOT:22	WI5:31	MIPS:31		5
79	1578	SERPINB9	5272	164	BRD7	29117	LacZ4		Y2H:40	GIOT:31	WI5:31	MIPS:31		5
80	1578	SERPINB9	5272	341	CRMP1	1400	LacZ4		HPRD:31|Y2H:40	GIOT:31	WI5:31	MIPS:31		5
81	1578	SERPINB9	5272	466	EEF1A1	1915	LacZ4		HPRD:21|HPRD:22|HPRD:31|Y2H:40	GIOT:22|GIOT:13|GIOT:31	WI5:31	MIPS:31		5
82	1590	SGTA	6449	1409	PTN	5764	LacZ4		HPRD:22|HPRD:13|Y2H:40	GIOT:22	WI5:21|WI5:22	MIPS:31		5
83	1639	SMT3H2	6613	288	CHD3	1107	LacZ4		HPRD:22|HPRD:13|Y2H:40	GIOT:22|GIOT:31		MIPS:31	GO:0006512	5
83	1639	SMT3H2	6613	286	CHD3	1107	LacZ4	Memb:neg	HPRD:22|HPRD:13|Y2H:40	GIOT:22|GIOT:31		MIPS:31	GO:0006512	5
84	1785	TOMM20	9804	145	BAT3	7917	LacZ4		HPRD:22|Y2H:40	GIOT:31	WI5:22	MIPS:22		5
85	1792	TP53I3	9540	1853	UNC119	9094	LacZ4		HPRD:31|Y2H:40	GIOT:31	WI5:31	MIPS:22		5
86	1825	TUBB4	10381	479	EEF1G	1937	LacZ4		Y2H:40	GIOT:22|GIOT:31	WI5:21|WI5:31	MIPS:22|MIPS:31		5
87	1902	ZFP64	55734	1759	TLE1	7088	LacZ4		HPRD:31|Y2H:40	GIOT:31	WI5:31		GO:0006355	5
88	1910	ZNF24	7572	342	CRMP1	1400	LacZ4		HPRD:31|Y2H:40	GIOT:22|GIOT:31	WI5:31	MIPS:31		5
89	1910	ZNF24	7572	466	EEF1A1	1915	LacZ4	Memb:pos	HPRD:31|Y2H:40	GIOT:12|GIOT:22|GIOT:13|GIOT:31	WI5:31	MIPS:22|MIPS:31		5
90	1910	ZNF24	7572	475	EEF1G	1937	LacZ4	Memb:pos	HPRD:31|Y2H:40	GIOT:12|GIOT:21|GIOT:22|GIOT:13|GIOT:31	WI5:31	MIPS:22|MIPS:31		5
91	1910	ZNF24	7572	1788	TP53	7157	LacZ4	Memb:pos	HPRD:22|HPRD:31|Y2H:40	GIOT:22|GIOT:31	WI5:31		GO:0006355	5
92	27	ACTG1	71	1271	PFN2	5217	LacZ4	PMID:7758455|PMID:11027290	HPRD:12|HPRD:22|HPRD:13|HPRD:31	GIOT:22			GO:0015629	4
93	46	ALDH2	217	174	C14orf1	11161	LacZ4		HPRD:21|HPRD:22|HPRD:31|Y2H:40	GIOT:22		MIPS:13		4
94	52	ANKRD24	170961	1853	UNC119	9094	LacZ4		HPRD:31|Y2H:40	GIOT:22|GIOT:31	WI5:31			4
95	66	APACD	10190	286	CHD3	1107	LacZ4	Memb:neg	HPRD:22|HPRD:31|Y2H:30|Y2H:40	GIOT:31		MIPS:21|MIPS:22|MIPS:31		4
96	66	APACD	10190	897	KIAA1377	57562	LacZ4		Y2H:40	GIOT:31		MIPS:21		4
97	66	APACD	10190	1580	SETDB1	9869	LacZ4		HPRD:22|HPRD:31|Y2H:40	GIOT:13|GIOT:31		MIPS:31		4
98	81	ARF4L	379	487	EIF2B1	1967	LacZ4	Memb:pos	HPRD:31	GIOT:31	WI5:22			4
99	80	ARF4L	379	1759	TLE1	7088	LacZ4		HPRD:31|Y2H:40	GIOT:22|GIOT:13|GIOT:31	WI5:22|WI5:31			4
100	80	ARF4L	379	1845	UBR1	197131	LacZ4		HPRD:31|Y2H:40	GIOT:13|GIOT:31	WI5:31			4
101	80	ARF4L	379	1853	UNC119	9094	LacZ4		HPRD:31|Y2H:40	GIOT:22|GIOT:13|GIOT:31	WI5:31			4
102	83	ARFRP2	54622	341	CRMP1	1400	LacZ4		Y2H:30|Y2H:40	GIOT:31	WI5:31			4
103	83	ARFRP2	54622	668	GAPD	2597	LacZ4		HPRD:22|Y2H:40	GIOT:21|GIOT:22	WI5:22|WI5:31			4
104	83	ARFRP2	54622	1853	UNC119	9094	LacZ4		HPRD:22|HPRD:31|Y2H:40	GIOT:21|GIOT:31	WI5:31			4
105	89	ARIH2	10425	897	KIAA1377	57562	LacZ4		HPRD:31|Y2H:40	GIOT:22|GIOT:31	WI5:31			4
106	89	ARIH2	10425	1409	PTN	5764	LacZ4		HPRD:31|Y2H:40	GIOT:22		MIPS:31		4
107	89	ARIH2	10425	1514	RPL8	6132	LacZ4		Y2H:40	GIOT:22|GIOT:13|GIOT:31	WI5:22|WI5:31			4
108	89	ARIH2	10425	1788	TP53	7157	LacZ4		HPRD:22|HPRD:31|Y2H:40	GIOT:22|GIOT:31	WI5:31			4
109	94	ARPC3	10094	145	BAT3	7917	LacZ4		HPRD:31|Y2H:40	GIOT:13|GIOT:31		MIPS:22		4
110	103	ASC1p100	84164	284	CGI-125	51003	SD4		HPRD:31|Y2H:40		WI5:31	MIPS:31	GO:0006355	4
111	103	ASC1p100	84164	1492	RPA1	6117	LacZ4		HPRD:31|Y2H:40		WI5:31	MIPS:22|MIPS:31		4
112	113	ATP5C1	509	1101	MPP1	4354	LacZ4		Y2H:40	GIOT:22|GIOT:31	WI5:13			4
113	119	ATP6V1E1	529	121	ATP6V1G1	9550	LacZ4	Memb:pos		GIOT:11	WI5:12|WI5:13		GO:0006754	4
114	127	AXIN1	8312	341	CRMP1	1400	LacZ4	Bdg:pos	HPRD:22|HPRD:31|Y2H:40		WI5:31	MIPS:31		4
115	127	AXIN1	8312	466	EEF1A1	1915	LacZ4		HPRD:22|HPRD:13|HPRD:31|Y2H:40		WI5:22|WI5:31	MIPS:31		4
116	146	BAT3	7917	833	IKBKAP	8518	LacZ4		HPRD:31|Y2H:30|Y2H:40	GIOT:13|GIOT:31		MIPS:31		4
117	146	BAT3	7917	1580	SETDB1	9869	LacZ4		HPRD:31|Y2H:30|Y2H:40	GIOT:22|GIOT:31		MIPS:31		4
118	155	BHLHB2	8553	286	CHD3	1107	LacZ4	Memb:neg	HPRD:22|HPRD:31|Y2H:40	GIOT:22|GIOT:13|GIOT:31			GO:0006355	4
118	155	BHLHB2	8553	288	CHD3	1107	LacZ4		HPRD:22|HPRD:31|Y2H:40	GIOT:22|GIOT:13|GIOT:31			GO:0006355	4
119	155	BHLHB2	8553	1904	ZHX1	11244	LacZ4		HPRD:31|Y2H:40	GIOT:22|GIOT:31			GO:0006355	4
120	168	BTBD2	55643	341	CRMP1	1400	LacZ4		HPRD:31|Y2H:40		WI5:31	MIPS:31		4
121	168	BTBD2	55643	668	GAPD	2597	LacZ4		HPRD:22|HPRD:31|Y2H:40	GIOT:21|GIOT:22	WI5:22|WI5:31			4
122	168	BTBD2	55643	1759	TLE1	7088	LacZ4		HPRD:22|HPRD:31|Y2H:40	GIOT:31	WI5:31			4
123	168	BTBD2	55643	1788	TP53	7157	LacZ4	Memb:pos	HPRD:22|HPRD:31|Y2H:40	GIOT:31	WI5:31			4
124	168	BTBD2	55643	1853	UNC119	9094	LacZ4		HPRD:31|Y2H:40	GIOT:21|GIOT:22|GIOT:31	WI5:31			4
125	185	C1orf6	56893	466	EEF1A1	1915	LacZ4		HPRD:22|Y2H:40	GIOT:22|GIOT:13|GIOT:31	WI5:21|WI5:22|WI5:13|WI5:31			4
126	185	C1orf6	56893	1853	UNC119	9094	LacZ4		Y2H:40	GIOT:22|GIOT:13|GIOT:31	WI5:22|WI5:13			4
127	190	C20orf97	57761	408	DKFZP564O0523	84060	LacZ4		Y2H:40	GIOT:22|GIOT:31	WI5:31			4
128	190	C20orf97	57761	475	EEF1G	1937	LacZ4		Y2H:40	GIOT:22|GIOT:13	WI5:31			4
129	190	C20orf97	57761	812	HTATIP	10524	LacZ4	Memb:pos	HPRD:22|Y2H:40	GIOT:22|GIOT:13			GO:0006355	4
130	205	C7orf20	51608	475	EEF1G	1937	LacZ4		Y2H:40	GIOT:31	WI5:31			4
131	205	C7orf20	51608	897	KIAA1377	57562	LacZ4		Y2H:40	GIOT:31	WI5:31			4
132	243	CCL18	6362	341	CRMP1	1400	LacZ4		HPRD:31|Y2H:40		WI5:31	MIPS:31		4
133	243	CCL18	6362	1788	TP53	7157	LacZ4		HPRD:22|HPRD:31|Y2H:40	GIOT:31	WI5:31			4
134	243	CCL18	6362	1853	UNC119	9094	LacZ4		HPRD:31|Y2H:40	GIOT:22|GIOT:31	WI5:31			4
135	250	CCT7	10574	342	CRMP1	1400	LacZ4		Y2H:40	GIOT:22|GIOT:31		MIPS:31		4
136	256	CDC42	998	1476	RIF1	55791	LacZ4		HPRD:22|HPRD:31|Y2H:40		WI5:22|WI5:31	MIPS:22		4
137	256	CDC42	998	1788	TP53	7157	LacZ4		HPRD:12|HPRD:22|HPRD:13|HPRD:31|Y2H:40		WI5:22|WI5:31	MIPS:22		4
138	262	CDK4	1019	226	CAPNS1	826	SD4		HPRD:31	GIOT:31	WI5:31	MIPS:31		4
139	263	CDK5RAP2	55755	341	CRMP1	1400	LacZ4		HPRD:31|Y2H:40	GIOT:22|GIOT:31		MIPS:31		4
139	263	CDK5RAP2	55755	342	CRMP1	1400	SD4		HPRD:31|Y2H:40	GIOT:22|GIOT:31		MIPS:31		4
140	263	CDK5RAP2	55755	408	DKFZP564O0523	84060	LacZ4		Y2H:40	GIOT:22|GIOT:31	WI5:31			4
141	271	CDKN2C	1031	1476	RIF1	55791	LacZ4		HPRD:31|Y2H:30|Y2H:40		WI5:22|WI5:31	MIPS:22		4
142	304	CKS2	1164	466	EEF1A1	1915	LacZ4		HPRD:22|Y2H:40	GIOT:22|GIOT:31	WI5:22|WI5:13|WI5:31			4
143	304	CKS2	1164	1853	UNC119	9094	LacZ4		HPRD:13|Y2H:40	GIOT:22|GIOT:31	WI5:22|WI5:13			4
144	327	COX17	10063	1476	RIF1	55791	LacZ4		HPRD:31|Y2H:40		WI5:31	MIPS:22		4
145	330	CPE	1363	1492	RPA1	6117	LacZ4		HPRD:31|Y2H:40		WI5:31	MIPS:31		4
146	330	CPE	1363	1567	SDCCAG16	10813	LacZ4		HPRD:31|Y2H:40		WI5:31	MIPS:31		4
147	334	CPSF5	11051	408	DKFZP564O0523	84060	LacZ4		Y2H:40	GIOT:21|GIOT:22	WI5:31			4
148	334	CPSF5	11051	897	KIAA1377	57562	LacZ4		HPRD:21|HPRD:22|Y2H:40	GIOT:22|GIOT:31	WI5:22|WI5:31			4
149	334	CPSF5	11051	1519	RPLP1	6176	LacZ4	Bdg:neg	Y2H:40	GIOT:22|GIOT:13|GIOT:31	WI5:13|WI5:31			4
150	337	CREB1	1385	286	CHD3	1107	LacZ4		HPRD:22|HPRD:13|HPRD:31|Y2H:40	GIOT:22			GO:0006355	4
150	337	CREB1	1385	288	CHD3	1107	LacZ4		HPRD:22|HPRD:13|HPRD:31|Y2H:40	GIOT:22			GO:0006355	4
151	347	CSTF2	1478	145	BAT3	7917	LacZ4		HPRD:22|Y2H:30|Y2H:40	GIOT:31		MIPS:31		4
152	347	CSTF2	1478	174	C14orf1	11161	LacZ4		HPRD:31|Y2H:40	GIOT:22|GIOT:31		MIPS:22|MIPS:13		4
153	371	DDR1	780	1641	SNAPAP	23557	LacZ4		Y2H:40	GIOT:31	WI5:31			4
154	371	DDR1	780	1813	TTR	7276	LacZ4		HPRD:22|Y2H:40	GIOT:31	WI5:31			4
155	405	DKFZP564C103	26151	341	CRMP1	1400	LacZ4		Y2H:40	GIOT:22		MIPS:31		4
155	405	DKFZP564C103	26151	342	CRMP1	1400	SD4		Y2H:40	GIOT:22		MIPS:31		4
156	428	DLST	1743	1904	ZHX1	11244	LacZ4		HPRD:31|Y2H:40	GIOT:21|GIOT:31		MIPS:22		4
157	428	DLST	1743	1908	ZNF145	7704	LacZ4		Y2H:40	GIOT:31		MIPS:22		4
158	437	DNCL1	8655	466	EEF1A1	1915	LacZ4		HPRD:22|HPRD:13|HPRD:31|Y2H:40	GIOT:22|GIOT:13	WI5:22|WI5:13			4
159	443	DNMT2	1787	1853	UNC119	9094	LacZ4		HPRD:31|Y2H:40	GIOT:22|GIOT:31	WI5:31			4
160	456	DRPLA	1822	1759	TLE1	7088	LacZ4		Y2H:40	GIOT:31	WI5:21|WI5:13			4
